Name,Rating,About,Salaries
Hexaware Technologies,3.4,IT Services & Consulting | Chennai +66 other locations,7.4k
Ujjivan Small Finance Bank,4.0,Banking | Bangalore / Bengaluru +530 other locations,7.3k
Lupin,4.1,Pharma | Pune +203 other locations,7.2k
L&T Construction,4.0,Engineering & Construction | Chennai +428 other locations,7.2k
Zydus Lifesciences,3.9,Pharma | Ahmedabad +175 other locations,7.2k
Hindustan Unilever,4.2,FMCG | Mumbai +529 other locations,7.1k
Ekart Logistics,3.9,Logistics | Bangalore / Bengaluru +737 other locations,7.1k
KPMG India,3.4,Management Consulting | Bangalore / Bengaluru +111 other locations,7k
ITC,3.9,FMCG | Bangalore / Bengaluru +374 other locations,7k
Axis Max Life Insurance,4.0,Insurance | New Delhi +494 other locations,6.9k
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Hyderabad / Secunderabad +406 other locations,6.7k
Tata Projects,4.2,Engineering & Construction | Mumbai +284 other locations,6.6k
Coforge,3.2,IT Services & Consulting | Noida +104 other locations,6.5k
FIS,3.8,FinTech | Pune +61 other locations,6.4k
Bajaj Life Insurance,3.9,Insurance | Pune +604 other locations,6.4k
L&T Technology Services,3.1,IT Services & Consulting | Bangalore / Bengaluru +93 other locations,6.4k
Cholamandalam Investment & Finance,3.8,Financial Services | Chennai +829 other locations,6.3k
IIFL Finance,4.0,NBFC | Mumbai +800 other locations,6.3k
Oracle,3.5,Software Product | Bangalore / Bengaluru +56 other locations,6.2k
Indian Army,4.7,Defence & Aerospace | New Delhi +363 other locations,6.2k
Omega Healthcare,3.8,BPO | Chennai +69 other locations,6.2k
Muthoot Finance,3.7,NBFC | Bangalore / Bengaluru +781 other locations,6.2k
JLL,4.1,Real Estate | Gurgaon / Gurugram +85 other locations,6.1k
HCL Group,3.5,IT Services & Consulting | Chennai +97 other locations,6.1k
eClerx,3.1,IT Services & Consulting | Pune +32 other locations,6k
Virtusa Consulting Services,3.7,IT Services & Consulting | Hyderabad / Secunderabad +55 other locations,5.9k
Piramal Finance,4.2,NBFC | Mumbai +419 other locations,5.9k
DMart,3.9,Retail | Mumbai +246 other locations,5.9k
HSBC Group,3.9,Financial Services | Bangalore / Bengaluru +63 other locations,5.8k
Udaan,3.9,Internet | Bangalore / Bengaluru +371 other locations,5.8k
Indiamart Intermesh,3.5,Internet | Noida +171 other locations,5.8k
SMFG India Credit,3.9,NBFC | Mumbai +590 other locations,5.7k
Aurobindo Pharma,4.0,Pharma | Hyderabad / Secunderabad +115 other locations,5.7k
CGI Group,4.0,IT Services & Consulting | Bangalore / Bengaluru +43 other locations,5.7k
BigBasket,3.9,Internet | Bangalore / Bengaluru +139 other locations,5.7k
Siemens,3.9,Industrial Automation | Bangalore / Bengaluru +153 other locations,5.6k
Manappuram Finance,3.9,NBFC | Bangalore / Bengaluru +645 other locations,5.6k
Access Healthcare,3.7,BPO | Chennai +63 other locations,5.6k
Shapoorji Pallonji Group,4.1,Engineering & Construction | Mumbai +188 other locations,5.6k
Firstsource Solutions,3.5,BPO | Bangalore / Bengaluru +73 other locations,5.6k
GlobalLogic,3.5,IT Services & Consulting | Hyderabad / Secunderabad +60 other locations,5.6k
ICICI Lombard General Insurance Company,3.5,Insurance | Mumbai +311 other locations,5.6k
Tata Capital,4.0,NBFC | Mumbai +435 other locations,5.6k
Standard Chartered,3.6,Banking | Chennai +68 other locations,5.6k
Mahindra Finance,3.9,NBFC | Mumbai +728 other locations,5.5k
Apollo Hospitals,4.1,Healthcare | Chennai +229 other locations,5.5k
Bosch Global Software Technologies,3.7,IT Services & Consulting | Bangalore / Bengaluru +47 other locations,5.5k
PolicyBazaar,3.6,Internet | Gurgaon / Gurugram +149 other locations,5.5k
UST,3.7,IT Services & Consulting | Bangalore / Bengaluru +50 other locations,5.5k
Ashok Leyland,4.0,Automobile | Chennai +254 other locations,5.4k
Citicorp,3.7,Financial Services | Pune +68 other locations,5.4k
Swiggy,3.7,Internet | Bangalore / Bengaluru +228 other locations,5.4k
Hero MotoCorp,4.1,Automobile | Gurgaon / Gurugram +364 other locations,5.3k
Cyient,3.6,IT Services & Consulting | Hyderabad / Secunderabad +48 other locations,5.3k
SBI Cards & Payment Services,3.7,Financial Services | Gurgaon / Gurugram +435 other locations,5.1k
Kalpataru Projects International,4.1,Engineering & Construction | Mumbai +320 other locations,5.1k
JustDial,3.5,Internet | Noida +228 other locations,5.1k
BNY,3.7,Financial Services | Pune +25 other locations,5.1k
IQVIA,3.7,Clinical Research | Bangalore / Bengaluru +62 other locations,5k
SBI Life Insurance Company,3.7,Insurance | Mumbai +652 other locations,5k
CBRE,4.1,Real Estate | Hyderabad / Secunderabad +91 other locations,5k
TVS Motor,3.9,Automobile | Hosur +349 other locations,5k
NTT Data,3.8,IT Services & Consulting | Bangalore / Bengaluru +79 other locations,5k
Nagarjuna Construction Company,4.0,Engineering & Construction | Hyderabad / Secunderabad +295 other locations,5k
Schneider Electric,4.1,Industrial Automation | Bangalore / Bengaluru +120 other locations,4.9k
Persistent Systems,3.6,IT Services & Consulting | Pune +42 other locations,4.9k
vivo,4.1,Consumer Electronics & Appliances | Noida +414 other locations,4.9k
State Bank of India,3.8,Banking | Mumbai +618 other locations,4.9k
